date,btc_close,eth_close
2025-05-01,60248.36,3376.04
2025-05-02,59930.87,3390.72
2025-05-03,60323.84,3344.68
2025-05-04,60761.51,3340.19
2025-05-05,59882.92,3440.63
2025-05-06,59882.93,3467.81
2025-05-07,60789.61,3396.4
2025-05-08,60383.72,3450.18
2025-05-09,59765.26,3418.08
2025-05-10,60271.28,3367.74
2025-05-11,59768.29,3418.07
2025-05-12,59767.14,3476.9
2025-05-13,60120.98,3398.21
2025-05-14,59043.36,3478.23
2025-05-15,59137.54,3269.01
2025-05-16,59718.86,3441.1
2025-05-17,59493.58,3404.35
2025-05-18,60157.12,3385.05
2025-05-19,59545.99,3404.59
2025-05-20,59293.85,3300.62
2025-05-21,60732.82,3389.02
2025-05-22,59887.11,3417.86
2025-05-23,60033.76,3473.89
2025-05-24,59287.63,3374.09
2025-05-25,59727.81,3359.58
2025-05-26,60055.46,3374.91
2025-05-27,59424.5,3445.77
2025-05-28,60187.85,3416.44
2025-05-29,59699.68,3373.51
2025-05-30,59854.15,3425.66
2025-05-31,59699.15,3404.85
2025-06-01,60926.14,3448.43
2025-06-02,59993.25,3364.9
2025-06-03,59471.14,3383.62
2025-06-04,60411.27,3380.39
2025-06-05,59389.58,3326.82
2025-06-06,60104.43,3414.81
2025-06-07,59020.16,3413.05
2025-06-08,59335.91,3400.26
2025-06-09,60098.43,3388.27
2025-06-10,60369.23,3329.23
2025-06-11,60085.68,3378.97
2025-06-12,59942.18,3382.86
2025-06-13,59849.45,3359.89
2025-06-14,59260.74,3391.94
2025-06-15,59640.08,3420.2
2025-06-16,59769.68,3494.31
2025-06-17,60528.56,3408.73
2025-06-18,60171.81,3412.88
2025-06-19,59118.48,3396.28
2025-06-20,60162.04,3304.06
2025-06-21,59807.46,3398.67
2025-06-22,59661.54,3403.01
2025-06-23,60305.84,3523.16
2025-06-24,60515.5,3390.38
2025-06-25,60465.64,3415.08
2025-06-26,59580.39,3398.26
2025-06-27,59845.39,3341.57
2025-06-28,60165.63,3457.14
2025-06-29,60487.77,3437.6
